dest;orig;hombres;mujeres;año
Canarias;España;18911;19499;2020
   Lanzarote;España;1625;1680;2020
   Fuerteventura;España;601;598;2020
   Gran Canaria;España;6161;6224;2020
   Tenerife;España;9687;10130;2020
   La Gomera;España;73;65;2020
   La Palma;España;731;768;2020
   El Hierro;España;33;34;2020
Canarias;Resto de UE-28;2597;2681;2020
   Lanzarote;Resto de UE-28;273;314;2020
   Fuerteventura;Resto de UE-28;159;165;2020
   Gran Canaria;Resto de UE-28;375;385;2020
   Tenerife;Resto de UE-28;1699;1726;2020
   La Gomera;Resto de UE-28;8;6;2020
   La Palma;Resto de UE-28;77;84;2020
   El Hierro;Resto de UE-28;6;1;2020
Canarias;Resto del mundo;3452;3645;2020
   Lanzarote;Resto del mundo;391;367;2020
   Fuerteventura;Resto del mundo;262;213;2020
   Gran Canaria;Resto del mundo;722;800;2020
   Tenerife;Resto del mundo;1935;2086;2020
   La Gomera;Resto del mundo;14;15;2020
   La Palma;Resto del mundo;120;148;2020
   El Hierro;Resto del mundo;8;16;2020
Canarias;España;20822;21037;2019
   Lanzarote;España;1631;1706;2019
   Fuerteventura;España;630;668;2019
   Gran Canaria;España;7460;7443;2019
   Tenerife;España;10230;10355;2019
   La Gomera;España;75;69;2019
   La Palma;España;752;753;2019
   El Hierro;España;44;43;2019
Canarias;Resto de UE-28;2977;3028;2019
   Lanzarote;Resto de UE-28;340;377;2019
   Fuerteventura;Resto de UE-28;203;205;2019
   Gran Canaria;Resto de UE-28;512;481;2019
   Tenerife;Resto de UE-28;1827;1842;2019
   La Gomera;Resto de UE-28;13;10;2019
   La Palma;Resto de UE-28;80;103;2019
   El Hierro;Resto de UE-28;2;10;2019
Canarias;Resto del mundo;3607;3686;2019
   Lanzarote;Resto del mundo;485;365;2019
   Fuerteventura;Resto del mundo;255;191;2019
   Gran Canaria;Resto del mundo;852;906;2019
   Tenerife;Resto del mundo;1890;2084;2019
   La Gomera;Resto del mundo;6;10;2019
   La Palma;Resto del mundo;114;122;2019
   El Hierro;Resto del mundo;5;8;2019
Canarias;España;21175;22159;2018
   Lanzarote;España;1629;1619;2018
   Fuerteventura;España;595;627;2018
   Gran Canaria;España;7571;7870;2018
   Tenerife;España;10458;11105;2018
   La Gomera;España;84;55;2018
   La Palma;España;784;828;2018
   El Hierro;España;54;55;2018
Canarias;Resto de UE-28;2986;2985;2018
   Lanzarote;Resto de UE-28;286;342;2018
   Fuerteventura;Resto de UE-28;210;194;2018
   Gran Canaria;Resto de UE-28;519;534;2018
   Tenerife;Resto de UE-28;1840;1792;2018
   La Gomera;Resto de UE-28;14;7;2018
   La Palma;Resto de UE-28;107;106;2018
   El Hierro;Resto de UE-28;10;10;2018
Canarias;Resto del mundo;3097;3123;2018
   Lanzarote;Resto del mundo;380;312;2018
   Fuerteventura;Resto del mundo;216;161;2018
   Gran Canaria;Resto del mundo;706;759;2018
   Tenerife;Resto del mundo;1687;1776;2018
   La Gomera;Resto del mundo;8;5;2018
   La Palma;Resto del mundo;95;101;2018
   El Hierro;Resto del mundo;5;9;2018
Canarias;España;19673;19927;2017
   Lanzarote;España;1590;1527;2017
   Fuerteventura;España;598;594;2017
   Gran Canaria;España;6929;6869;2017
   Tenerife;España;9688;10061;2017
   La Gomera;España;75;76;2017
   La Palma;España;755;766;2017
   El Hierro;España;38;34;2017
Canarias;Resto de UE-28;2845;2813;2017
   Lanzarote;Resto de UE-28;289;334;2017
   Fuerteventura;Resto de UE-28;167;193;2017
   Gran Canaria;Resto de UE-28;474;463;2017
   Tenerife;Resto de UE-28;1811;1713;2017
   La Gomera;Resto de UE-28;6;4;2017
   La Palma;Resto de UE-28;91;97;2017
   El Hierro;Resto de UE-28;7;9;2017
Canarias;Resto del mundo;2554;2547;2017
   Lanzarote;Resto del mundo;347;269;2017
   Fuerteventura;Resto del mundo;190;130;2017
   Gran Canaria;Resto del mundo;591;619;2017
   Tenerife;Resto del mundo;1352;1426;2017
   La Gomera;Resto del mundo;6;16;2017
   La Palma;Resto del mundo;63;79;2017
   El Hierro;Resto del mundo;5;8;2017
Canarias;España;19564;20169;2016
   Lanzarote;España;1501;1534;2016
   Fuerteventura;España;590;597;2016
   Gran Canaria;España;7068;7026;2016
   Tenerife;España;9517;10070;2016
   La Gomera;España;77;77;2016
   La Palma;España;763;820;2016
   El Hierro;España;48;45;2016
Canarias;Resto de UE-28;2540;2469;2016
   Lanzarote;Resto de UE-28;259;286;2016
   Fuerteventura;Resto de UE-28;183;186;2016
   Gran Canaria;Resto de UE-28;384;370;2016
   Tenerife;Resto de UE-28;1634;1528;2016
   La Gomera;Resto de UE-28;1;5;2016
   La Palma;Resto de UE-28;74;89;2016
   El Hierro;Resto de UE-28;5;5;2016
Canarias;Resto del mundo;2526;2410;2016
   Lanzarote;Resto del mundo;319;256;2016
   Fuerteventura;Resto del mundo;215;156;2016
   Gran Canaria;Resto del mundo;603;629;2016
   Tenerife;Resto del mundo;1325;1272;2016
   La Gomera;Resto del mundo;6;6;2016
   La Palma;Resto del mundo;53;91;2016
   El Hierro;Resto del mundo;5;0;2016
Canarias;España;21117;21813;2015
   Lanzarote;España;1683;1714;2015
   Fuerteventura;España;601;654;2015
   Gran Canaria;España;7625;7682;2015
   Tenerife;España;10348;10837;2015
   La Gomera;España;56;46;2015
   La Palma;España;771;858;2015
   El Hierro;España;33;22;2015
Canarias;Resto de UE-28;2384;2376;2015
   Lanzarote;Resto de UE-28;228;280;2015
   Fuerteventura;Resto de UE-28;127;158;2015
   Gran Canaria;Resto de UE-28;357;335;2015
   Tenerife;Resto de UE-28;1606;1524;2015
   La Gomera;Resto de UE-28;4;6;2015
   La Palma;Resto de UE-28;60;66;2015
   El Hierro;Resto de UE-28;2;7;2015
Canarias;Resto del mundo;2672;2410;2015
   Lanzarote;Resto del mundo;364;278;2015
   Fuerteventura;Resto del mundo;190;174;2015
